ID,Mode_anti-theft,Key,Vibration,Acceleration,Distance,Speed,Rules
1,1,1,1,1,2,2,1
2,1,1,1,1,2,1,1
3,1,1,1,1,2,0,1
4,1,1,1,1,1,2,1
5,1,1,1,1,1,1,1
6,1,1,1,1,1,0,1
8,1,1,1,1,0,1,0
9,1,1,1,1,0,0,0
10,1,1,1,0,2,2,1
11,1,1,1,0,2,1,1
12,1,1,1,0,2,0,1
13,1,1,1,0,1,2,1
14,1,1,1,0,1,1,1
15,1,1,1,0,1,0,1
16,1,1,1,0,0,2,1
17,1,1,1,0,0,1,1
18,1,1,1,0,0,0,1
19,1,1,0,1,2,2,1
20,1,1,0,1,2,1,1
30,1,1,0,0,2,0,1
31,1,1,0,0,1,2,1
32,1,1,0,0,1,1,1
33,1,1,0,0,1,0,1
35,1,1,0,0,0,1,0
36,1,1,0,0,0,0,0
37,1,0,1,1,2,2,1
38,1,0,1,1,2,1,1
39,1,0,1,1,2,0,1
40,1,0,1,1,1,2,1
41,1,0,1,1,1,1,0
42,1,0,1,1,1,0,0
44,1,0,1,1,0,1,0
45,1,0,1,1,0,0,0
46,1,0,1,0,2,2,1
47,1,0,1,0,2,1,1
48,1,0,1,0,2,0,1
49,1,0,1,0,1,2,1
50,1,0,1,0,1,1,0
80,0,1,1,1,0,1,0
81,0,1,1,1,0,0,0
82,0,1,1,0,2,2,0
83,0,1,1,0,2,1,0
84,0,1,1,0,2,0,0
85,0,1,1,0,1,2,0
86,0,1,1,0,1,1,0
87,0,1,1,0,1,0,0
89,0,1,1,0,0,1,0
90,0,1,1,0,0,0,0
91,0,1,0,1,2,2,0
92,0,1,0,1,2,1,0
93,0,1,0,1,2,0,0
94,0,1,0,1,1,2,0
95,0,1,0,1,1,1,0
96,0,1,0,1,1,0,0
98,0,1,0,1,0,1,0
99,0,1,0,1,0,0,0
100,0,1,0,0,2,2,0
101,0,1,0,0,2,1,0
102,0,1,0,0,2,0,0
103,0,1,0,0,1,2,0
