ID,Mode_anti-theft,Key,Vibration,Acceleration,Distance,Speed,Rules
1,Có,Có,Có,Có,Mức 2,Mức 2,Mất
2,Có,Có,Có,Có,Mức 2,Mức 1,Mất
3,Có,Có,Có,Có,Mức 2,Không,Mất
4,Có,Có,Có,Có,Mức 1,Mức 2,Mất
5,Có,Có,Có,Có,Mức 1,Mức 1,Mất
6,Có,Có,Có,Có,Mức 1,Không,Mất
7,Có,Có,Có,Có,Không,Mức 2,Bỏ
8,Có,Có,Có,Có,Không,Mức 1,Không
9,Có,Có,Có,Có,Không,Không,Không
10,Có,Có,Có,Không,Mức 2,Mức 2,Mất
11,Có,Có,Có,Không,Mức 2,Mức 1,Mất
12,Có,Có,Có,Không,Mức 2,Không,Mất
13,Có,Có,Có,Không,Mức 1,Mức 2,Mất
14,Có,Có,Có,Không,Mức 1,Mức 1,Mất
15,Có,Có,Có,Không,Mức 1,Không,Mất
16,Có,Có,Có,Không,Không,Mức 2,Mất
17,Có,Có,Có,Không,Không,Mức 1,Mất
18,Có,Có,Có,Không,Không,Không,Mất
19,Có,Có,Không,Có,Mức 2,Mức 2,Mất
20,Có,Có,Không,Có,Mức 2,Mức 1,Mất
21,Có,Có,Không,Có,Mức 2,Không,Mất
22,Có,Có,Không,Có,Mức 1,Mức 2,Mất
23,Có,Có,Không,Có,Mức 1,Mức 1,Mất
24,Có,Có,Không,Có,Mức 1,Không,Mất
25,Có,Có,Không,Có,Không,Mức 2,Mất
26,Có,Có,Không,Có,Không,Mức 1,Mất
27,Có,Có,Không,Có,Không,Không,Mất
28,Có,Có,Không,Không,Mức 2,Mức 2,Mất
29,Có,Có,Không,Không,Mức 2,Mức 1,Mất
30,Có,Có,Không,Không,Mức 2,Không,Mất
31,Có,Có,Không,Không,Mức 1,Mức 2,Mất
32,Có,Có,Không,Không,Mức 1,Mức 1,Mất
33,Có,Có,Không,Không,Mức 1,Không,Mất
34,Có,Có,Không,Không,Không,Mức 2,Bỏ
35,Có,Có,Không,Không,Không,Mức 1,Không
36,Có,Có,Không,Không,Không,Không,Không
37,Có,Không,Có,Có,Mức 2,Mức 2,Mất
38,Có,Không,Có,Có,Mức 2,Mức 1,Mất
39,Có,Không,Có,Có,Mức 2,Không,Mất
40,Có,Không,Có,Có,Mức 1,Mức 2,Mất
41,Có,Không,Có,Có,Mức 1,Mức 1,Không
42,Có,Không,Có,Có,Mức 1,Không,Không
43,Có,Không,Có,Có,Không,Mức 2,Bỏ
44,Có,Không,Có,Có,Không,Mức 1,Không
45,Có,Không,Có,Có,Không,Không,Không
46,Có,Không,Có,Không,Mức 2,Mức 2,Mất
47,Có,Không,Có,Không,Mức 2,Mức 1,Mất
48,Có,Không,Có,Không,Mức 2,Không,Mất
49,Có,Không,Có,Không,Mức 1,Mức 2,Mất
50,Có,Không,Có,Không,Mức 1,Mức 1,Không
51,Có,Không,Có,Không,Mức 1,Không,Không
52,Có,Không,Có,Không,Không,Mức 2,Bỏ
